Test Suite ID,Test Case ID,Priority,Module,Summary,Preconditions,Test data,Steps,Expected Result,Remarks
Функциональные проверки,,,,,,,,,
TS-01,TC-01,High,Форма авторизации,Успешная авторизация пользователя с использованием валидных данных,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"":
    
2. Поле ""Пароль"":
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь авторизован в систему. Отображен личный кабинет пользователя",
TS-02,TC-02,,,Неуспешная авторизация пользователя с ипользованием невалидным данных,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе",,"1. Ввести значение из тестовых 
данных в поле ""Логин""; 
2. Ввести значение из тестовых 
данных поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь не авторизован в систему. Отображается сообщение об ошибке ""Указан неверный логин/пароль""",
TS-05,TC-05,,,Неуспешная авторизация пользователя c незаполненными полями,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе",,"1. Оставить пустым поле ""Логин""; 
2. Оставить пустым поле ""Пароль"";
3. Нажать кнопку ""Sign in""
","1.  Поле ""Логин"" пусто;
2. Поле  ""Пароль"" пусто;
3. Пользователь не авторизован в систему. Отображается сообщение об ошибке ""заполните обязательные поля""",
TS-06,TC-06,,,Неуспешная авторизация незарегистрированного пользователя,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь не зарегистрирован в системе",,"1. Ввести значение из тестовых 
данных в поле ""Логин""; 
2. Ввести значение из тестовых 
данных поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь не авторизован в систему. Отображается сообщение об ошибке ""Пользователь не зарегистрирован""",
TS-07,TC-07,,,"Неуспешная авторизация пользователя с незаполненным полем ""Пароль""","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь  зарегистрирован в системе",,"1. Ввести значение из тестовых 
данных в поле ""Логин""; 
2. Оставить пустым поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";
2. Поле ""Пароль""пустое;
3. Пользователь не авторизован в систему. Отображается сообщение об ошибке ""заполните обязательное поле ""Пароль""",
TS-08,TC-08,,,"Неуспешная авторизация пользователя с незаполненным полем ""логин""","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь  зарегистрирован в системе",,"1.Оставить пустым поле ""Логин""; 
2. Ввести значение из тестовых 
данных поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Пароль"";
2. Поле ""Логин""пустое;
3. Пользователь не авторизован в систему. Отображается сообщение об ошибке ""заполните обязательное поле ""Логин""",
TS-10,TC-10,,,"Неуспешная авторизация пользователя с  невалидными данными в поле ""Логин""","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь  зарегистрирован в системе",,"1. Ввести невалидное значение в поле ""Логин""; 
2. Ввести значение из тестовых 
данных поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь не авторизован в систему. Отображается сообщение об ошибке ""Невалидные данные в поле ""Логин""",
TS-11,TC-11,,,"Неуспешная авторизация пользователя с  невалидными данными в поле ""Пароль""","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь  зарегистрирован в системе",,"1. 
Ввести значение из тестовых 
данных в поле ""Логин""; 
2. Ввести невалидное  значение в  поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь не авторизован в систему. Отображается сообщение об ошибке ""Невалидные данные в поле ""Пароль""",
TS-12,TC-12,,,Неуспешная авторизация заблокированного пользователя,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь  зарегистрирован в системе",,"1. 
Ввести данные заблокированного пользователя в поле ""Логин""; 
2. Ввести данные заблокированного пользователя вполе ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь не авторизован в систему. Отображается сообщение об ошибке ""Пользователь заблокирован""",
Нефункциональные проверки,,,,,,,,,
Тестирование пользовательского интерфейса,,,,,,,,,
,ТС-14,Low,Форма авторизации,"Кнопка ""Sign in"" меняет цвет при наведении курсора ","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя","1. Поле ""Логин"":
    
2. Поле ""Пароль"":","1. Навести курсор на кнопку ""Sign in""","1. Цвет кнопки ""Sign in"" изменен",
,ТС-15,,,"Кнопка ""Sign in"" меняет цвет при заполении полей","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",,"1. Заполнить поля ""логин"" и ""пароль""","1. Цвет кнопки ""Sign in"" изменен",
,ТС-16,,,"Кнопка ""Sign in"" кликабельна при заполненных полях ""логин"" и ""пароль""","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",,"1. Заполнить поля ""логин"" и ""пароль""
2. Нажать на кнопку ""sign in""",1. Открывается страница личного кабинета пользователя,
,ТС-17,,,"Кнопка ""Sign in"" соответствует цветовой гамме и стилю сайта, а также описанию в макете","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",,,"1. Кнопка ""Sign in"" соответствует цветовой гамме и стилю сайта, а также описанию в макете",
,ТС-18,,,При некорректном введении данных отображается подсказка для исправления ошибки,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",,"1. Заполнить поля ""логин"" и ""пароль"" невалидными данными
2. Нажать на кнопку ""sign in""",1. Отображается подсказка для восстановления забытого пароля или логина,
Тестирование производительности,,,,,,,,,
,ТС-18,Low,"Форма 
авторизации","При нажатии кнопки 
""Sing in"" переход в 
личный кабинет 
пользователя 
осуществляется без
задержек","1. Открыт сайт ""Название""
2. Открыта форма 
авторизации пользователя","1. Поле ""Логин"":
    
2. Поле ""Пароль"":","1. Заполнить поля ""логин"" и 
""пароль"" валидными данными
2. Нажать на кнопку ""sign in""","1. Переход в 
личный кабинет 
пользователя 
осуществляется без
задержек",
,ТС-19,,,"При нажатии кнопки 
""Sing in"" несколько раз
 подряд не происходит 
сбоя загрузки  страницы","1. Открыт сайт ""Название""
2. Открыта форма 
авторизации пользователя",,"1. Заполнить поля ""логин"" и 
""пароль"" валидными данными
2. Нажать на кнопку ""sign in"" 
несколько раз подряд","1. Переход в 
личный кабинет 
пользователя 
осуществляется без сбоя загрузки",
Тестирование совместимости,,,,,,,,,
,ТС-20,Low,Форма авторизации,"При открытии страницы
 в разных браузерах 
(Opera, Chrom,Mozilla)  
страница отображается
 корректно","1. Открыт сайт ""Название"" 
в браузерах Opera, Chrome,Mozilla
2. Открыта форма 
авторизации пользователя","1. Поле ""Логин"":
    
2. Поле ""Пароль"":","1. Заполнить поля ""логин"" и ""пароль""
2. Нажать на кнопку ""sign in""","1. Страница сайта ""название"" с полями ""Логин"" и ""Пароль"", а также личный кабинет отображены корректно, без смещения элементов",
,ТС-21,Low,,"При открытии страницы
 в разных видах устройств
(телефон, планшет,ПК)  
страница отображается
 корректно","1. Открыт сайт ""Название"" 
на планшете, телефоне, ПК
2. Открыта форма 
авторизации пользователя",,"1. Заполнить поля ""логин"" и ""пароль""
2. Нажать на кнопку ""sign in""",,
,ТС-22,Low,,"При открытии страницы
 на различных 
операционых системах
(Android, windows,Linux,iOS)  
страница отображается
 корректно","1. Открыт сайт ""Название""
 на
Android, windows,Linux,iOS
2. Открыта форма 
авторизации пользователя",,"1. Заполнить поля ""логин"" и ""пароль""
2. Нажать на кнопку ""sign in""",,
,ТС-23,Low,,"При открытии страницы
 на устройствах с 
различными разрешениями
(800 × 600, 1024 × 768,
 1280 × 1024)  
страница отображается
 корректно","1. Открыт сайт ""Название""
 на устройствах с разным
 разрешением
800 × 600, 1024 × 768,
 1280 × 1024
2. Открыта форма 
авторизации пользователя",,"1. Заполнить поля ""логин"" и ""пароль""
2. Нажать на кнопку ""sign in""",,
Тестирование безопасности,,,,,,,,,
,ТС-24,High,Форма авторизации,"Личные данные с сайта не передаются никуда, кроме БД","1. Открыт сайт ""Название""
2. Открыта форма 
авторизации пользователя","1. Поле ""Логин"":
    
2. Поле ""Пароль"":","1. Заполнить поля ""логин"" и ""пароль""
2. Нажать на кнопку ""sign in""","1. Данные о логине и пароле передаются только в базу веб-приложения, пароль захэширован ",
,ТС-25,High,,Защита от XSS-уязвимостей,"1. Открыт сайт ""Название""2. Открыта форма авторизации пользователя","1. Поле ""Login"":    <script>alert(123)</script>2. Поле ""Password"":    sklLL1_=wd","1. Ввести значение из тестовых данных в поле ""Логин""; 2. Ввести значение из тестовых данных поле ""Пароль"";3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";2. Введенное значение отображено в поле ""Пароль"";3. Пользователь не авторизован в системе. Отобразилось сообщение: ""Проверьте правильность введенных данных""",
,ТС-26,High,,Проверка наличия безопасного соединения с сайтом,"1. Открыт сайт ""Название""2. Открыта форма авторизации пользователя",,"1. Проверить наличие иконки ""закрытый замок"" в браузерной строке ввода URL","1. Отображается иконка ""закртый замок"" в браузерной строке ввода URL",
,ТС-27,High,,,,,,,
Тестирование локализации,,,,,,,,,
,ТК-28,High,"Форма 
авторизации","Веб-приложение 
работает одинаково 
эффективно  и 
корректно 
вне зависимости от 
локации пользователя","1. Открыт сайт ""Название""
2. Открыта форма 
авторизации пользователя","1. Поле ""Логин"":
    
2. Поле ""Пароль"":","1. Заполнить поля ""логин"" 
и ""пароль""
2. Нажать на кнопку ""sign in""","1. Веб-приложение 
работает одинаково 
эффективно  и 
корректно 
при любой локации пользователя",
,,,,,,,,,
Тестирование удобства использования,,,,,,,,,
,ТС-29,Medium,"Форма 
авторизации","Алгоритм действий 
для авторизации 
пользователя 
интуитивно 
понятен. ","1. Открыт сайт ""Название""
2. Открыта форма 
авторизации пользователя","1. Поле ""Логин"":
    
2. Поле ""Пароль"":","1. Заполнить поля ""логин"" 
и ""пароль""
2. Нажать на кнопку ""sign in""","1. Интерфейс веб-приложения интуитивно понятен
пользователю без дополнительного инструктажа и всплывающи окон",
Тестирование доступности ,,,,,,,,,
,,low,"Форма 
авторизации","В изображениях 
присутствуют
 alt-тексты ","1. Открыт сайт ""Название""
2. Открыта форма 
авторизации пользователя","1. Поле ""Логин"":
    
2. Поле ""Пароль"":","1. Заполнить поля ""логин"" 
и ""пароль""
2. Навести курсор на изображение на странице авторизации  до появления описания ",,
,,low,"Форма 
авторизации","Доступна навигация
 при помощи клавиатуры","1. Открыт сайт ""Название""
2. Открыта форма 
авторизации пользователя","1. Поле ""Логин"":
    
2. Поле ""Пароль"":","1. Заполнить поля ""логин"" 
и ""пароль""
2. Нажать на кнопку ""sign in"" при помощи клавиатуры",,
,,low,"Форма 
авторизации","Доступно изменение
шрифта или
 инструмент увеличения 
текста/ изображения 
(лупа)","1. Открыт сайт ""Название""
2. Открыта форма 
авторизации пользователя","1. Иконка ""Увеличение
 шрифта""
2. Иконка ""Лупа""","1. Нажать на Иконку ""увеличение шрифта""
2. Нажать на иконку ""Лупа""",,
,,low,"Форма 
авторизации","Мигающие виджеты можно 
отключить","1. Открыт сайт ""Название""
2. Открыта форма 
авторизации пользователя",,,,